SCHED_DT,SCHED_HR,CUST_PART_NO,WIP_QTY,QTY
15-Sep-17,8,39103-03201,3,300
15-Sep-17,8,39103-03202,20,320
15-Sep-17,8,39103-03203,5,3
16-Sep-17,8,39103-03201,0,650
16-Sep-17,8,39103-03202,0,35
16-Sep-17,8,39103-03203,0,60
17-Sep-17,8,39103-03201,0,422
17-Sep-17,8,39103-03202,0,80
17-Sep-17,8,39103-03203,0,90
